Date,N1,N2,N3,N4,N5,E1,E2
2004-02-13,14,26,32,46,47,3,11
2004-02-20,4,6,13,39,42,10,11
2004-02-27,3,13,29,33,39,2,12
2004-03-05,19,20,21,43,49,4,10
2004-03-12,10,23,24,29,30,5,12
2004-03-19,4,7,14,39,48,9,12
2004-03-26,13,19,34,43,44,5,10
2004-04-02,13,17,34,36,44,6,11
2004-04-09,19,25,27,42,45,8,11
2004-04-16,8,11,16,19,30,4,12
2004-04-23,3,15,31,34,47,2,7
2004-04-30,20,38,39,41,45,7,11
2004-05-07,6,12,17,29,45,2,12
2004-05-14,33,35,36,38,46,1,12
2004-05-21,1,4,20,29,50,2,12
2004-05-28,8,17,27,32,39,11,12
2004-06-04,2,3,4,24,27,4,12
2004-06-11,9,15,30,39,40,2,6
2004-06-18,1,2,17,26,30,11,12
2004-06-25,5,12,16,28,42,3,12
2004-07-02,3,10,26,40,41,3,11
2004-07-09,2,6,31,46,47,3,10
2004-07-16,9,18,36,41,45,4,10
2004-07-23,6,7,29,41,42,2,10
2004-07-30,3,8,10,13,25,10,11
2004-08-06,10,14,15,27,49,1,4
2004-08-13,2,21,28,37,44,2,6
2004-08-20,9,22,38,40,45,2,10
2004-08-27,5,8,21,34,41,5,10
2004-09-03,9,10,15,21,38,1,10
2004-09-10,15,18,21,26,48,7,12
2004-09-17,22,23,29,39,42,7,11
2004-09-24,1,10,17,42,44,9,10
2004-10-01,26,28,32,44,45,5,6
2004-10-08,7,12,33,41,50,10,12
2004-10-15,4,25,38,39,47,5,7
2004-10-22,1,2,8,30,43,1,4
2004-10-29,3,26,38,42,50,3,10
2004-11-05,2,4,13,26,42,7,9
2004-11-12,16,25,32,33,41,9,11
2004-11-19,12,17,22,23,32,1,6
2004-11-26,4,9,25,42,47,3,10
2004-12-03,5,11,17,27,31,8,9
2004-12-10,23,31,40,41,44,7,8
2004-12-17,9,11,24,34,48,6,9
2004-12-24,12,40,42,43,50,3,9
2004-12-31,21,24,30,45,46,2,3
2005-01-07,4,14,33,39,48,1,11
2005-01-14,16,36,37,38,46,8,10
2005-01-21,1,3,26,43,45,4,7
2005-01-28,8,15,19,27,47,7,10
2005-02-04,9,13,14,30,45,2,6
2005-02-11,16,21,22,29,45,8,9
2005-02-18,5,15,20,34,38,5,6
2005-02-25,12,17,41,44,46,8,9
2005-03-04,3,19,34,43,44,7,8
2005-03-11,33,38,40,41,47,8,12
2005-03-18,28,40,44,48,50,5,9
2005-03-25,5,16,23,25,36,6,10
2005-04-01,1,19,35,41,47,4,5
2005-04-08,25,35,40,43,44,2,3
2005-04-15,13,23,32,46,47,6,9
2005-04-22,3,4,21,38,46,1,5
2005-04-29,6,11,18,25,31,3,6
2005-05-06,2,11,23,28,49,2,5
2005-05-13,22,23,29,44,50,6,9
2005-05-20,9,18,27,36,42,7,9
2005-05-27,7,14,20,25,41,6,10
2005-06-03,17,19,20,21,45,5,9
2005-06-10,12,21,25,29,31,1,6
2005-06-17,21,37,40,42,48,4,9
2005-06-24,11,16,34,44,49,2,4
2005-07-01,9,15,37,39,42,6,12
2005-07-08,1,3,16,25,28,1,4
2005-07-15,13,21,34,42,47,4,6
2005-07-22,8,17,31,38,41,3,9
2005-07-29,7,34,41,45,47,10,11
2005-08-05,10,16,20,45,50,5,6
2005-08-12,4,6,12,26,50,6,7
2005-08-19,7,14,28,40,45,2,3
2005-08-26,13,18,26,30,32,2,6
2005-09-02,16,20,35,48,49,1,2
2005-09-09,4,11,28,37,48,3,8
2005-09-16,13,22,30,31,32,3,7
2005-09-23,1,2,15,21,29,3,11
2005-09-30,13,14,23,36,37,3,8
2005-10-07,7,16,28,33,34,1,7
2005-10-14,6,24,25,35,50,5,6
2005-10-21,1,3,18,32,44,3,5
2005-10-28,3,13,16,18,32,6,9
2005-11-04,1,10,16,29,38,2,7
2005-11-11,11,23,24,36,43,4,12
2005-11-18,4,9,12,16,39,4,7
2005-11-25,12,30,33,48,50,5,8
2005-12-02,21,24,25,33,45,5,10
2005-12-09,4,7,19,26,46,4,8
2005-12-16,14,23,27,30,47,1,10
2005-12-23,12,20,36,38,39,10,11
2005-12-30,13,20,24,36,41,9,12
2006-01-06,21,24,25,28,47,9,10
